id,order_count,total_purchase
882,2,55088000
884,1,225097000
885,9,962830000
887,1,419441000
888,5,602174000
889,8,696841000
890,1,55520000
891,1,148370000
892,8,640698000
894,10,718248000
896,2,393330000
899,6,1118622000
9,7,402394000
90,9,601964000
900,1,82968000
903,8,714420000
905,1,23697000
906,1,62649000
907,1,57950000
908,6,791526000
909,1,252130000
910,9,923087000
911,8,338152000
912,10,513010000
914,1,4149000
916,2,183658000
918,1,128270000
92,11,1315628000
921,4,447072000
922,4,392480000
923,1,126837000
926,1,70620000
927,7,494958000
928,8,912158000
929,1,59250000
930,3,222193000
931,4,231847000
932,3,353304000
933,6,717635000
934,4,83536000
935,3,241900000
938,12,1042667000
939,10,850039000
94,4,183237000
940,3,76350000
941,3,164340000
942,1,13840000
945,1,52170000
946,5,514075000
947,1,420570000
949,4,534553000
95,1,83710000
950,2,221100000
951,13,1210409000
952,1,163380000
953,2,229518000
957,7,591718000
96,11,1181721000
960,1,54400000
961,1,32402000
963,3,555409000
965,11,1341726000
966,4,239068000
967,1,475410000
968,2,341581000
97,3,94333000
971,6,1129907000
972,6,652302000
974,1,37190000
975,2,109890000
976,4,489980000
978,10,872519000
979,2,185620000
98,1,128450000
980,2,198306000
981,1,76338000
982,4,394211000
983,1,39930000
984,12,1261799000
986,1,37190000
988,1,306935000
989,1,162315000
99,9,1009661000
990,2,194140000
992,2,613818000
995,3,412412000
997,6,912032000
998,1,13090000
