SaleID,Date,CustomerID,ProductID,Quantity,UnitPrice,Discount,PaymentMethod,Channel,City,CustomerType,TotalAmount,Uniqueness,BookCategory,BookAgeYears,Condition,Language
S0059,2025-09-20,C0048,P010,1,233000,0,Card,Online,Rasht,New Customer,233000,1,History,18,Good,Persian-Arabic
S0060,2025-09-20,C0035,P001,1,2054000,0,Cash,In-Person,Rasht,New Customer,2054000,7,Philosophy,87,Excellent,Old Persian
S0061,2025-09-22,C0072,P018,1,1066000,0,Cash,In-Person,Rasht,New Customer,1066000,5,Religious-Mystical,48,Excellent,Persian
S0062,2025-09-22,C0140,P029,3,735000,330750,Card,Online,Nowshahr,New Customer,1874250,4,Manuscript,33,Acceptable,Persian
S0063,2025-09-22,C0114,P040,1,1107000,221400,Cash,In-Person,Rasht,New Customer,885600,5,Classical Poetry,40,Excellent,Persian
S0064,2025-09-22,C0154,P004,1,1174000,0,Card,Online,Rasht,New Customer,1174000,5,Religious-Mystical,105,Excellent,Persian-Arabic
S0065,2025-09-22,C0134,P037,1,933000,111960,Online,Online,Rasht,New Customer,821040,4,Classical Literature,99,Acceptable,Persian-Arabic
S0066,2025-09-24,C0043,P020,1,688000,172000,Card,In-Person,Rasht,New Customer,516000,3,Classical Poetry,111,Acceptable,Persian
S0067,2025-09-24,C0158,P008,1,1969000,0,Card,In-Person,Nowshahr,Returning Customer,1969000,7,Philosophy,43,Good,Persian
S0068,2025-09-25,C0091,P010,1,262000,39300,Cash,In-Person,Rasht,New Customer,222700,1,History,18,Good,Persian-Arabic
S0069,2025-09-26,C0031,P027,2,1090000,0,Card,In-Person,Nowshahr,Returning Customer,2180000,5,Manuscript,44,Acceptable,Old Persian
S0070,2025-09-26,C0007,P022,1,536000,0,Cash,In-Person,Rasht,New Customer,536000,3,Manuscript,44,Excellent,Persian-Arabic
S0071,2025-09-26,C0177,P008,1,1786000,267900,Card,In-Person,Nowshahr,New Customer,1518100,7,Philosophy,43,Good,Persian
S0072,2025-09-26,C0127,P009,1,1499000,0,Card,Online,Nowshahr,New Customer,1499000,6,Classical Literature,52,Good,Persian
S0073,2025-09-26,C0090,P015,2,761000,0,Card,In-Person,Nowshahr,New Customer,1522000,4,Classical Literature,57,Good,Persian-Arabic
S0074,2025-09-27,C0077,P041,1,2096000,0,Card,Online,Nowshahr,New Customer,2096000,7,Philosophy,122,Good,Persian
S0075,2025-09-27,C0062,P039,1,813000,0,Card,In-Person,Rasht,New Customer,813000,4,Religious-Mystical,34,Good,Persian
S0076,2025-09-30,C0026,P008,2,1828000,914000,Card,Online,Nowshahr,New Customer,2742000,7,Philosophy,43,Good,Persian
S0077,2025-09-30,C0103,P032,1,1390000,347500,Online,Online,Nowshahr,New Customer,1042500,5,Religious-Mystical,198,Acceptable,Persian-Arabic
S0078,2025-09-30,C0185,P007,1,784000,117600,Card,In-Person,Rasht,New Customer,666400,4,Religious-Mystical,28,Excellent,Old Persian
S0079,2025-09-30,C0035,P010,1,239000,0,Cash,In-Person,Rasht,Returning Customer,239000,1,History,18,Good,Persian-Arabic
S0080,2025-10-01,C0155,P023,1,765000,38250,Card,Online,Nowshahr,New Customer,726750,3,History,154,Good,Old Persian
S0081,2025-10-01,C0041,P024,1,1435000,0,Card,In-Person,Nowshahr,Returning Customer,1435000,6,Philosophy,89,Good,Old Persian
S0082,2025-10-01,C0112,P037,1,857000,0,Card,In-Person,Rasht,New Customer,857000,4,Classical Literature,99,Acceptable,Persian-Arabic
S0083,2025-10-02,C0169,P006,1,2198000,0,Online,Online,Nowshahr,New Customer,2198000,7,History,175,Good,Persian
S0084,2025-10-02,C0073,P040,1,1117000,0,Online,Online,Rasht,New Customer,1117000,5,Classical Poetry,40,Excellent,Persian
S0085,2025-10-02,C0044,P034,1,2000000,0,Cash,In-Person,Rasht,New Customer,2000000,7,Philosophy,102,Good,Persian-Arabic
S0086,2025-10-03,C0049,P023,1,716000,0,Cash,In-Person,Rasht,New Customer,716000,3,History,154,Good,Old Persian
S0087,2025-10-03,C0054,P018,1,1064000,0,Card,Online,Nowshahr,Returning Customer,1064000,5,Religious-Mystical,48,Excellent,Persian
S0088,2025-10-05,C0085,P011,2,541000,0,Online,Online,Nowshahr,New Customer,1082000,3,Manuscript,28,Excellent,Persian-Arabic
S0089,2025-10-06,C0165,P021,1,1764000,0,Online,Online,Nowshahr,Returning Customer,1764000,7,Classical Literature,49,Excellent,Old Persian
S0090,2025-10-06,C0005,P010,2,253000,0,Online,Online,Nowshahr,New Customer,506000,1,History,18,Good,Persian-Arabic
S0091,2025-10-06,C0070,P004,1,1240000,62000,Card,In-Person,Rasht,New Customer,1178000,5,Religious-Mystical,105,Excellent,Persian-Arabic
S0092,2025-10-08,C0013,P021,3,1859000,1115400,Card,Online,Nowshahr,Returning Customer,4461600,7,Classical Literature,49,Excellent,Old Persian
S0093,2025-10-09,C0068,P025,1,1920000,0,Card,In-Person,Nowshahr,New Customer,1920000,7,Philosophy,38,Excellent,Old Persian
S0094,2025-10-09,C0069,P015,1,825000,99000,Card,In-Person,Rasht,New Customer,726000,4,Classical Literature,57,Good,Persian-Arabic
S0095,2025-10-09,C0002,P024,1,1469000,0,Online,Online,Nowshahr,New Customer,1469000,6,Philosophy,89,Good,Old Persian
S0096,2025-10-10,C0023,P037,1,917000,0,Cash,In-Person,Rasht,New Customer,917000,4,Classical Literature,99,Acceptable,Persian-Arabic
S0097,2025-10-11,C0099,P028,3,1110000,0,Card,Online,Nowshahr,New Customer,3330000,5,Philosophy,37,Good,Old Persian
S0098,2025-10-11,C0111,P037,1,907000,0,Cash,In-Person,Rasht,New Customer,907000,4,Classical Literature,99,Acceptable,Persian-Arabic
S0099,2025-10-11,C0147,P036,1,2399000,479800,Online,Online,Nowshahr,Returning Customer,1919200,8,Religious-Mystical,43,Excellent,Old Persian
S0100,2025-10-12,C0023,P029,1,774000,0,Card,In-Person,Rasht,Returning Customer,774000,4,Manuscript,33,Acceptable,Persian
S0101,2025-10-12,C0181,P032,2,1297000,0,Online,Online,Rasht,Returning Customer,2594000,5,Religious-Mystical,198,Acceptable,Persian-Arabic
S0102,2025-10-13,C0009,P037,1,925000,0,Online,Online,Nowshahr,Returning Customer,925000,4,Classical Literature,99,Acceptable,Persian-Arabic
S0103,2025-10-13,C0023,P002,1,1153000,288250,Card,In-Person,Rasht,Returning Customer,864750,5,Manuscript,61,Excellent,Persian
S0104,2025-10-13,C0042,P006,1,2050000,512500,Card,In-Person,Nowshahr,New Customer,1537500,7,History,175,Good,Persian
S0105,2025-10-13,C0037,P031,1,1351000,0,Online,Online,Nowshahr,New Customer,1351000,6,Classical Literature,33,Excellent,Persian
S0106,2025-10-13,C0161,P035,2,2546000,0,Online,Online,Rasht,New Customer,5092000,8,History,99,Excellent,Old Persian
S0107,2025-10-15,C0075,P022,1,520000,0,Card,In-Person,Rasht,New Customer,520000,3,Manuscript,44,Excellent,Persian-Arabic
S0108,2025-10-15,C0129,P012,1,1461000,146100,Online,Online,Rasht,New Customer,1314900,6,Classical Poetry,48,Excellent,Persian
S0109,2025-10-15,C0157,P042,1,2420000,484000,Card,In-Person,Rasht,New Customer,1936000,8,Classical Literature,65,Good,Persian-Arabic
S0110,2025-10-16,C0123,P011,1,535000,0,Card,In-Person,Rasht,New Customer,535000,3,Manuscript,28,Excellent,Persian-Arabic
S0111,2025-10-17,C0105,P023,1,783000,0,Online,Online,Nowshahr,New Customer,783000,3,History,154,Good,Old Persian
S0112,2025-10-18,C0150,P005,1,2993000,0,Card,In-Person,Rasht,New Customer,2993000,9,Classical Poetry,45,Excellent,Persian
S0113,2025-10-22,C0066,P023,1,801000,120150,Cash,In-Person,Rasht,New Customer,680850,3,History,154,Good,Old Persian
S0114,2025-10-24,C0180,P015,1,821000,0,Card,In-Person,Rasht,New Customer,821000,4,Classical Literature,57,Good,Persian-Arabic
S0115,2025-10-24,C0070,P039,2,725000,0,Cash,In-Person,Rasht,Returning Customer,1450000,4,Religious-Mystical,34,Good,Persian
S0116,2025-10-25,C0162,P040,1,1093000,0,Card,Online,Rasht,New Customer,1093000,5,Classical Poetry,40,Excellent,Persian
S0117,2025-10-25,C0102,P003,2,1018000,244320,Online,Online,Nowshahr,New Customer,1791680,5,Philosophy,27,Excellent,Old Persian
S0118,2025-10-25,C0051,P030,1,2259000,0,Online,Online,Nowshahr,New Customer,2259000,8,History,71,Acceptable,Persian-Arabic
S0119,2025-10-26,C0154,P025,1,1807000,180700,Card,In-Person,Rasht,Returning Customer,1626300,7,Philosophy,38,Excellent,Old Persian
S0120,2025-10-26,C0024,P026,1,1338000,0,Card,Online,Nowshahr,New Customer,1338000,6,History,38,Excellent,Persian-Arabic
S0121,2025-10-27,C0016,P037,2,937000,0,Cash,In-Person,Rasht,New Customer,1874000,4,Classical Literature,99,Acceptable,Persian-Arabic
S0122,2025-10-27,C0160,P041,1,2061000,103050,Card,Online,Rasht,New Customer,1957950,7,Philosophy,122,Good,Persian
S0123,2025-11-01,C0156,P006,1,2163000,0,Card,In-Person,Rasht,Returning Customer,2163000,7,History,175,Good,Persian
S0124,2025-11-01,C0145,P002,1,1039000,51950,Cash,In-Person,Rasht,New Customer,987050,5,Manuscript,61,Excellent,Persian
S0125,2025-11-01,C0021,P014,2,1090000,0,Card,Online,Nowshahr,Returning Customer,2180000,5,Manuscript,53,Acceptable,Old Persian
S0126,2025-11-02,C0108,P033,1,756000,113400,Online,Online,Rasht,New Customer,642600,4,History,20,Good,Persian-Arabic
S0127,2025-11-03,C0022,P019,1,1012000,101200,Card,Online,Rasht,New Customer,910800,5,Classical Poetry,26,Good,Persian-Arabic
S0128,2025-11-04,C0064,P042,1,2358000,235800,Cash,In-Person,Rasht,New Customer,2122200,8,Classical Literature,65,Good,Persian-Arabic
S0129,2025-11-04,C0088,P019,1,997000,0,Card,In-Person,Rasht,New Customer,997000,5,Classical Poetry,26,Good,Persian-Arabic
S0130,2025-11-06,C0173,P034,1,2010000,0,Card,In-Person,Rasht,New Customer,2010000,7,Philosophy,102,Good,Persian-Arabic
S0131,2025-11-06,C0162,P010,1,234000,0,Cash,In-Person,Rasht,Returning Customer,234000,1,History,18,Good,Persian-Arabic
S0132,2025-11-07,C0121,P029,1,777000,0,Online,Online,Nowshahr,New Customer,777000,4,Manuscript,33,Acceptable,Persian
S0133,2025-11-07,C0079,P012,1,1522000,0,Card,In-Person,Rasht,New Customer,1522000,6,Classical Poetry,48,Excellent,Persian
S0134,2025-11-07,C0118,P007,1,747000,0,Card,In-Person,Nowshahr,Returning Customer,747000,4,Religious-Mystical,28,Excellent,Old Persian
S0135,2025-11-08,C0155,P040,2,1057000,528500,Online,Online,Nowshahr,Returning Customer,1585500,5,Classical Poetry,40,Excellent,Persian
S0136,2025-11-09,C0096,P027,1,1061000,0,Card,In-Person,Rasht,New Customer,1061000,5,Manuscript,44,Acceptable,Old Persian
S0137,2025-11-10,C0058,P012,1,1528000,0,Card,In-Person,Rasht,New Customer,1528000,6,Classical Poetry,48,Excellent,Persian
S0138,2025-11-10,C0033,P018,1,1137000,0,Card,Online,Nowshahr,Returning Customer,1137000,5,Religious-Mystical,48,Excellent,Persian
S0139,2025-11-11,C0041,P010,1,239000,0,Card,Online,Nowshahr,Returning Customer,239000,1,History,18,Good,Persian-Arabic
S0140,2025-11-11,C0016,P002,1,1128000,0,Online,Online,Rasht,Returning Customer,1128000,5,Manuscript,61,Excellent,Persian
S0141,2025-11-12,C0005,P016,1,1486000,297200,Online,Online,Nowshahr,Returning Customer,1188800,6,Classical Poetry,37,Good,Old Persian
S0142,2025-11-13,C0157,P020,1,719000,0,Online,Online,Rasht,Returning Customer,719000,3,Classical Poetry,111,Acceptable,Persian
S0143,2025-11-13,C0081,P009,1,1516000,0,Card,In-Person,Rasht,New Customer,1516000,6,Classical Literature,52,,Persian
S0144,2025-11-13,C0066,P033,1,765000,0,Cash,In-Person,Rasht,Returning Customer,765000,4,History,20,Good,Persian-Arabic
S0145,2025-11-14,C0141,P036,1,2418000,0,Online,Online,Rasht,New Customer,2418000,8,Religious-Mystical,43,Excellent,Old Persian
S0146,2025-11-17,C0159,P027,2,1024000,245760,Cash,In-Person,Nowshahr,New Customer,1802240,5,Manuscript,44,Acceptable,Old Persian
S0147,2025-11-17,C0169,P002,2,1166000,466400,Online,Online,Nowshahr,Returning Customer,1865600,5,Manuscript,61,Excellent,Persian
S0148,2025-11-17,C0059,P026,1,1475000,73750,Cash,In-Person,Rasht,Returning Customer,1401250,6,History,38,Excellent,Persian-Arabic
S0149,2025-11-17,C0035,P020,2,645000,64500,Card,Online,Rasht,Returning Customer,1225500,3,Classical Poetry,111,Acceptable,Persian
S0150,2025-11-18,C0014,P006,1,2144000,0,Card,Online,Nowshahr,New Customer,2144000,7,History,175,,Persian
S0151,2025-11-18,C0029,P019,1,1002000,120240,Card,In-Person,Rasht,Returning Customer,881760,5,Classical Poetry,26,Good,Persian-Arabic
S0152,2025-11-18,C0070,P021,1,1760000,0,Card,In-Person,Rasht,Returning Customer,1760000,7,Classical Literature,49,Excellent,Old Persian
S0153,2025-11-19,C0003,P025,1,1789000,0,Card,In-Person,Nowshahr,New Customer,1789000,7,Philosophy,38,Excellent,Old Persian
S0154,2025-11-20,C0184,P034,1,1913000,191300,Online,Online,Nowshahr,New Customer,1721700,7,Philosophy,102,Good,Persian-Arabic
S0155,2025-11-20,C0039,P020,1,636000,0,Card,In-Person,Rasht,New Customer,636000,3,Classical Poetry,111,Acceptable,Persian
S0156,2025-11-21,C0187,P004,1,1170000,81900,Card,In-Person,Rasht,New Customer,1088100,5,Religious-Mystical,105,Excellent,Persian-Arabic
S0157,2025-11-21,C0138,P020,1,687000,0,Card,In-Person,Rasht,New Customer,687000,3,Classical Poetry,111,Acceptable,Persian
S0158,2025-11-22,C0122,P013,1,2983000,447450,Cash,In-Person,Rasht,New Customer,2535550,9,Manuscript,53,Acceptable,Old Persian
S0159,2025-11-23,C0037,P037,1,915000,0,Card,In-Person,Nowshahr,Returning Customer,915000,4,Classical Literature,99,Acceptable,Persian-Arabic
S0160,2025-11-23,C0049,P002,1,1104000,77280,Card,In-Person,Rasht,Returning Customer,1026720,5,Manuscript,61,Excellent,Persian
S0161,2025-11-24,C0033,P005,1,2800000,420000,Cash,In-Person,Nowshahr,Returning Customer,2380000,9,Classical Poetry,45,Excellent,Persian
S0162,2025-11-26,C0068,P042,1,2271000,0,Card,Online,Nowshahr,Returning Customer,2271000,8,Classical Literature,65,Good,Persian-Arabic
S0163,2025-11-27,C0028,P021,3,1892000,0,Card,In-Person,Rasht,New Customer,5676000,7,Classical Literature,49,Excellent,Old Persian
S0164,2025-11-30,C0045,P030,2,2410000,482000,Online,Online,Rasht,New Customer,4338000,8,History,71,Acceptable,Persian-Arabic
S0165,2025-12-02,C0155,P001,1,1891000,472750,Online,Online,Nowshahr,Returning Customer,1418250,7,Philosophy,87,Excellent,Old Persian
S0166,2025-12-03,C0006,P022,1,526000,0,Online,Online,Nowshahr,New Customer,526000,3,Manuscript,44,Excellent,Persian-Arabic
S0167,2025-12-06,C0047,P015,1,759000,53130,Online,Online,Nowshahr,New Customer,705870,4,Classical Literature,57,Good,Persian-Arabic
S0168,2025-12-06,C0053,P004,2,1171000,351300,Card,In-Person,Rasht,New Customer,1990700,5,Religious-Mystical,105,Excellent,Persian-Arabic
S0169,2025-12-06,C0086,P006,1,2112000,0,Online,Online,Nowshahr,New Customer,2112000,7,History,175,Good,Persian
S0170,2025-12-07,C0080,P029,1,792000,0,Card,In-Person,Rasht,New Customer,792000,4,Manuscript,33,Acceptable,Persian
S0171,2025-12-08,C0064,P009,2,1386000,554400,Card,In-Person,Rasht,Returning Customer,2217600,6,Classical Literature,52,Good,Persian
S0172,2025-12-09,C0126,P005,1,2946000,0,Card,Online,Rasht,New Customer,2946000,9,Classical Poetry,45,Excellent,Persian
S0173,2025-12-09,C0064,P030,1,2248000,0,Online,Online,Rasht,Returning Customer,2248000,8,History,71,Acceptable,Persian-Arabic
S0174,2025-12-09,C0039,P040,1,1007000,0,Card,In-Person,Rasht,Returning Customer,1007000,5,Classical Poetry,40,Excellent,Persian
S0175,2025-12-09,C0015,P023,2,776000,0,Card,In-Person,Rasht,New Customer,1552000,3,History,154,Good,Old Persian
S0176,2025-12-11,C0131,P037,1,907000,0,Cash,In-Person,Nowshahr,New Customer,907000,4,Classical Literature,99,Acceptable,Persian-Arabic
S0177,2025-12-11,C0044,P034,1,1921000,230520,Card,In-Person,Rasht,Returning Customer,1690480,7,Philosophy,102,Good,Persian-Arabic
S0178,2025-12-12,C0037,P034,1,1856000,371200,Cash,In-Person,Nowshahr,Returning Customer,1484800,7,Philosophy,102,Good,Persian-Arabic
S0179,2025-12-12,C0133,P038,1,1118000,0,Online,Online,Nowshahr,New Customer,1118000,5,Manuscript,64,Excellent,Persian
S0180,2025-12-12,C0107,P035,1,2427000,121350,Cash,In-Person,Rasht,New Customer,2305650,8,History,99,Excellent,Old Persian
S0181,2025-12-13,C0151,P027,1,1079000,129480,Card,In-Person,Rasht,Returning Customer,949520,5,Manuscript,44,Acceptable,Old Persian
S0182,2025-12-13,C0067,P031,3,1336000,0,Online,Online,Nowshahr,New Customer,4008000,6,Classical Literature,33,Excellent,Persian
S0183,2025-12-13,C0074,P003,1,1011000,70770,Online,Online,Nowshahr,New Customer,940230,5,Philosophy,27,Excellent,Old Persian
S0184,2025-12-14,C0087,P007,1,789000,39450,Cash,In-Person,Rasht,Returning Customer,749550,4,Religious-Mystical,28,Excellent,Old Persian
S0185,2025-12-15,C0166,P010,1,263000,39450,Cash,In-Person,Rasht,New Customer,223550,1,History,18,Good,Persian-Arabic
S0186,2025-12-15,C0093,P015,1,774000,0,Card,In-Person,Rasht,New Customer,774000,4,Classical Literature,57,Good,Persian-Arabic
S0187,2025-12-16,C0164,P033,1,754000,0,Online,Online,Nowshahr,Returning Customer,754000,4,History,20,Good,Persian-Arabic
S0188,2025-12-16,C0105,P021,1,1877000,0,Online,Online,Nowshahr,Returning Customer,1877000,7,Classical Literature,49,Excellent,Old Persian
S0189,2025-12-17,C0028,P030,1,2308000,346200,Cash,In-Person,Rasht,Returning Customer,1961800,8,History,71,Acceptable,Persian-Arabic
S0190,2025-12-17,C0152,P042,1,2525000,0,Online,Online,Nowshahr,New Customer,2525000,8,Classical Literature,65,Good,Persian-Arabic
S0191,2025-12-17,C0024,P028,1,1022000,51100,Online,Online,Nowshahr,Returning Customer,970900,5,Philosophy,37,Good,Old Persian
S0192,2025-12-18,C0103,P029,1,720000,0,Online,Online,Nowshahr,Returning Customer,720000,4,Manuscript,33,Acceptable,Persian
S0193,2025-12-19,C0064,P002,1,1072000,0,Cash,In-Person,Rasht,Returning Customer,1072000,5,Manuscript,61,Excellent,Persian
S0194,2025-12-19,C0090,P020,1,710000,0,Card,In-Person,Nowshahr,Returning Customer,710000,3,Classical Poetry,111,Acceptable,Persian
S0195,2025-12-20,C0049,P031,1,1456000,218400,Online,Online,Rasht,Returning Customer,1237600,6,Classical Literature,33,Excellent,Persian
S0196,2025-12-20,C0060,P018,1,1061000,0,Card,In-Person,Rasht,New Customer,1061000,5,Religious-Mystical,48,Excellent,Persian
S0197,2025-12-20,C0142,P016,1,1509000,0,Card,In-Person,Rasht,New Customer,1509000,6,Classical Poetry,37,Good,Old Persian
S0198,2025-12-20,C0068,P002,1,1158000,57900,Online,Online,Nowshahr,Returning Customer,1100100,5,Manuscript,61,Excellent,Persian
S0199,2025-12-21,C0060,P024,2,1502000,0,Card,In-Person,Rasht,Returning Customer,3004000,6,Philosophy,89,Good,Old Persian
